time,P_turbine_1,P_total,E_total
2200.872035268217,0.022191435488167877,0.022191435488167877,59.863523215020805
2201.222213794115,0.02212912796855912,0.02212912796855912,59.87128326980992
2201.5723923200126,0.022066895166879007,0.022066895166879007,59.879021518925974
2201.9225708459103,0.02200473731614104,0.02200473731614104,59.88673798857438
2202.272749371808,0.02194265464836417,0.02194265464836417,59.89443270504197
2202.6229278977057,0.021880647394542055,0.021880647394542055,59.90210569469665
2202.9731064236034,0.02181871578461697,0.02181871578461697,59.90975698398702
2203.323284949501,0.021756860047443843,0.021756860047443843,59.91738659944203
2203.673463475399,0.02169508041076429,0.02169508041076429,59.92499456767056
2204.0236420012966,0.021633377101172233,0.021633377101172233,59.93258091536104
2204.3738205271943,0.021571750344089095,0.021571750344089095,59.94014566928104
2204.723999053092,0.021510200363743057,0.021510200363743057,59.94768885627687
2205.0741775789897,0.021448727383142192,0.021448727383142192,59.95521050327314
2205.4243561048875,0.021387331624063095,0.021387331624063095,59.96271063727235
2205.774534630785,0.021326013307041553,0.021326013307041553,59.97018928535442
2206.124713156683,0.02126477265135195,0.02126477265135195,59.97764647467629
2206.4748916825806,0.021203609875014795,0.021203609875014795,59.98508223247146
2206.8250702084783,0.02114252519478817,0.02114252519478817,59.99249658604957
2207.175248734376,0.021081518826181412,0.021081518826181412,59.99988956279592
2207.525427260274,0.021020590983457002,0.021020590983457002,60.007261190171086
2207.8756057861715,0.020959741879649215,0.020959741879649215,60.01461149571043
2208.225784312069,0.020898971726583823,0.020898971726583823,60.021940507023736
2208.575962837967,0.020838280734899586,0.020838280734899586,60.029248251794726
2208.9261413638646,0.020777669114067927,0.020777669114067927,60.0365347577807
2209.2763198897624,0.020717137072424032,0.020717137072424032,60.043800052812095
2209.62649841566,0.020656684817191816,0.020656684817191816,60.051044164792124
2209.976676941558,0.02059631255451072,0.02059631255451072,60.05826712169637
2210.3268554674555,0.02053602048946602,0.02053602048946602,60.065468951572406
2210.6770339933532,0.02047580882611509,0.02047580882611509,60.072649682539456
2211.027212519251,0.02041567776751768,0.02041567776751768,60.07980934278802
2211.3773910451487,0.020355627515752206,0.020355627515752206,60.08694796057953
2211.7275695710464,0.020295658271950935,0.020295658271950935,60.09406556424602
2212.077748096944,0.020235770236305038,0.020235770236305038,60.101162182189796
2212.427926622842,0.020175963608084595,0.020175963608084595,60.1082378428831
2212.7781051487395,0.020116238585648944,0.020116238585648944,60.11529257486779
2213.1282836746373,0.020056595366463686,0.020056595366463686,60.12232640675503
2213.478462200535,0.019997034147097022,0.019997034147097022,60.129339367224986
2213.8286407264327,0.019937555123218785,0.019937555123218785,60.13633148502649
2214.1788192523304,0.019878158489589876,0.019878158489589876,60.14330278897674
2214.528997778228,0.01981884444005743,0.01981884444005743,60.15025330796097
2214.879176304126,0.019759613167543953,0.019759613167543953,60.15718307093214
2215.2293548300236,0.019700464864031188,0.019700464864031188,60.164092106910594
2215.5795333559213,0.019641399720536596,0.019641399720536596,60.17098044498374
2215.929711881819,0.019582417927088265,0.019582417927088265,60.177848114305704
2216.2798904077167,0.019523519672707768,0.019523519672707768,60.18469514409698
2216.6300689336144,0.019464705145380606,0.019464705145380606,60.19152156364406
2216.980247459512,0.01940597453202627,0.01940597453202627,60.1983274022991
2217.33042598541,0.01934732801847639,0.01934732801847639,60.2051126894795
2217.6806045113076,0.01928876578944753,0.01928876578944753,60.21187745466755
2218.0307830372053,0.019230288028519404,0.019230288028519404,60.218621727410024
2218.380961563103,0.019171894918103838,0.019171894918103838,60.22534553731778
2218.7311400890007,0.01911358663942834,0.01911358663942834,60.23204891406533
2219.0813186148985,0.01905536337252143,0.01905536337252143,60.23873188739046
2219.431497140796,0.018997225296194985,0.018997225296194985,60.24539448709376
2219.781675666694,0.018939172588029685,0.018939172588029685,60.252036743038246
2220.1318541925916,0.01888120542437525,0.01888120542437525,60.25865868514889
2220.4820327184893,0.018823323980335524,0.018823323980335524,60.265260343412194
2220.832211244387,0.018765528429786155,0.018765528429786155,60.271841747875776
